model,strategy,student_id,student_name,question_number,n_trials,mean_score,std_dev,variance,min_score,max_score,range,cv_percent,consistency,all_scores
chatgpt,few,student_01,Mahasiswa 1,1,10,2.84,0.33730961708462703,0.11377777777777773,2.2,3.0,0.7999999999999998,11.87709919312067,Good,"2.20,3.00,3.00,3.00,3.00,3.00,2.20,3.00,3.00,3.00"
chatgpt,few,student_01,Mahasiswa 1,2,10,1.9300000000000002,0.11595018087284056,0.013444444444444443,1.8,2.1,0.30000000000000004,6.007781392375159,Excellent,"2.10,1.80,1.80,2.00,2.00,2.00,2.00,1.80,1.80,2.00"
chatgpt,few,student_01,Mahasiswa 1,3,10,1.17,0.22135943621178653,0.04899999999999999,1.1,1.8,0.7,18.919609932631328,Good,"1.80,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_01,Mahasiswa 1,4,10,1.17,0.22135943621178653,0.04899999999999999,1.1,1.8,0.7,18.919609932631328,Good,"1.80,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_01,Mahasiswa 1,5,10,1.1199999999999999,0.04216370213557834,0.001777777777777773,1.1,1.2,0.09999999999999987,3.764616262105209,Excellent,"1.10,1.20,1.10,1.10,1.10,1.10,1.10,1.10,1.20,1.10"
chatgpt,few,student_01,Mahasiswa 1,6,10,2.12,0.10327955589886455,0.010666666666666687,2.0,2.2,0.20000000000000018,4.87167716504078,Excellent,"2.20,2.00,2.00,2.20,2.20,2.00,2.00,2.20,2.20,2.20"
chatgpt,few,student_01,Mahasiswa 1,7,10,1.1099999999999999,0.03162277660168376,0.0009999999999999976,1.1,1.2,0.09999999999999987,2.848898792944483,Excellent,"1.10,1.10,1.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_02,Mahasiswa 2,1,10,3.1399999999999997,0.09660917830792969,0.009333333333333351,3.0,3.2,0.20000000000000018,3.076725423819417,Excellent,"3.00,3.20,3.00,3.00,3.20,3.20,3.20,3.20,3.20,3.20"
chatgpt,few,student_02,Mahasiswa 2,2,10,1.9300000000000002,0.11595018087284056,0.013444444444444443,1.8,2.1,0.30000000000000004,6.007781392375159,Excellent,"2.10,2.00,1.80,2.00,1.80,1.80,2.00,2.00,2.00,1.80"
chatgpt,few,student_02,Mahasiswa 2,3,10,1.1,0.0,0.0,1.1,1.1,0.0,0.0,Excellent,"1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_02,Mahasiswa 2,4,10,1.1,0.0,0.0,1.1,1.1,0.0,0.0,Excellent,"1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_02,Mahasiswa 2,5,10,1.1099999999999999,0.03162277660168376,0.0009999999999999976,1.1,1.2,0.09999999999999987,2.848898792944483,Excellent,"1.10,1.10,1.10,1.10,1.10,1.10,1.20,1.10,1.10,1.10"
chatgpt,few,student_02,Mahasiswa 2,6,10,2.96,0.051639777949432274,0.0026666666666666713,2.9,3.0,0.10000000000000009,1.7445870928862253,Excellent,"2.90,2.90,3.00,3.00,3.00,2.90,3.00,3.00,3.00,2.90"
chatgpt,few,student_02,Mahasiswa 2,7,10,2.0,0.0,0.0,2.0,2.0,0.0,0.0,Excellent,"2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00"
chatgpt,few,student_03,Mahasiswa 3,1,10,3.18,0.06324555320336764,0.004000000000000007,3.0,3.2,0.20000000000000018,1.9888538743197368,Excellent,"3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.00,3.20"
chatgpt,few,student_03,Mahasiswa 3,2,10,2.0100000000000002,0.03162277660168382,0.0010000000000000018,2.0,2.1,0.10000000000000009,1.5732724677454635,Excellent,"2.10,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00"
chatgpt,few,student_03,Mahasiswa 3,3,10,1.1800000000000002,0.22010098692292238,0.04844444444444444,1.1,1.8,0.7,18.652626010417148,Good,"1.80,1.10,1.10,1.20,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_03,Mahasiswa 3,4,10,1.1,0.0,0.0,1.1,1.1,0.0,0.0,Excellent,"1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10"
chatgpt,few,student_03,Mahasiswa 3,5,10,1.25,0.291547594742265,0.08499999999999999,1.1,1.8,0.7,23.3238075793812,Good,"1.80,1.10,1.10,1.10,1.10,1.10,1.10,1.80,1.20,1.10"
