experiment_id,model,strategy,student_name,question_number,weighted_score_pred,status,timestamp,grade_pred,weighted_score_gold,grade_gold,score_diff,grade_match
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,1,3.2,completed,2025-12-10T21:22:30.361375,B,3.0,B,0.20000000000000018,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,1,3.2,completed,2025-12-10T21:22:30.361375,B,3.0,B,0.20000000000000018,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,2,2.7,completed,2025-12-10T21:22:39.639215,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,2,2.7,completed,2025-12-10T21:22:39.639215,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,3,1.8,completed,2025-12-10T21:22:50.408431,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,3,1.8,completed,2025-12-10T21:22:50.408431,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T21:22:56.378127,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T21:22:56.378127,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T21:23:03.096708,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T21:23:03.096708,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,6,3.1,completed,2025-12-10T21:23:10.190676,B,2.2,C,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,6,3.1,completed,2025-12-10T21:23:10.190676,B,2.2,C,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,7,1.8,completed,2025-12-10T21:23:16.271539,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 1,7,1.8,completed,2025-12-10T21:23:16.271539,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,1,3.2,completed,2025-12-10T21:26:51.468848,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,1,3.2,completed,2025-12-10T21:26:51.468848,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,2,3.0,completed,2025-12-10T21:26:59.071045,B,3.0,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,2,3.0,completed,2025-12-10T21:26:59.071045,B,3.0,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,3,2.7,completed,2025-12-10T21:27:07.157902,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,3,2.7,completed,2025-12-10T21:27:07.157902,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,4,2.7,completed,2025-12-10T21:27:13.942372,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,4,2.7,completed,2025-12-10T21:27:13.942372,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,5,2.7,completed,2025-12-10T21:27:20.735676,C,1.1,D,1.6,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,5,2.7,completed,2025-12-10T21:27:20.735676,C,1.1,D,1.6,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,6,3.1,completed,2025-12-10T21:27:27.683687,B,3.1,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,6,3.1,completed,2025-12-10T21:27:27.683687,B,3.1,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,7,2.7,completed,2025-12-10T21:27:33.726864,C,1.2,D,1.5000000000000002,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 12,7,2.7,completed,2025-12-10T21:27:33.726864,C,1.2,D,1.5000000000000002,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,1,3.2,completed,2025-12-10T21:27:40.125360,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,1,3.2,completed,2025-12-10T21:27:40.125360,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,2,3.1,completed,2025-12-10T21:27:48.441587,B,2.7,C,0.3999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,2,3.1,completed,2025-12-10T21:27:48.441587,B,2.7,C,0.3999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,3,2.7,completed,2025-12-10T21:27:54.859671,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,3,2.7,completed,2025-12-10T21:27:54.859671,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,4,2.7,completed,2025-12-10T21:28:00.689022,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,4,2.7,completed,2025-12-10T21:28:00.689022,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,5,2.0,completed,2025-12-10T21:28:06.291991,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,5,2.0,completed,2025-12-10T21:28:06.291991,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,6,3.2,completed,2025-12-10T21:28:13.097974,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,6,3.2,completed,2025-12-10T21:28:13.097974,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,7,2.0,completed,2025-12-10T21:28:21.122470,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 13,7,2.0,completed,2025-12-10T21:28:21.122470,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,1,3.3,completed,2025-12-10T21:28:27.379128,B,3.2,B,0.09999999999999964,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,1,3.3,completed,2025-12-10T21:28:27.379128,B,3.2,B,0.09999999999999964,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,2,3.0,completed,2025-12-10T21:28:34.042805,B,2.0,C,1.0,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,2,3.0,completed,2025-12-10T21:28:34.042805,B,2.0,C,1.0,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,3,2.8,completed,2025-12-10T21:28:40.628298,C,1.8,D,0.9999999999999998,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,3,2.8,completed,2025-12-10T21:28:40.628298,C,1.8,D,0.9999999999999998,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,4,2.7,completed,2025-12-10T21:28:46.399326,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,4,2.7,completed,2025-12-10T21:28:46.399326,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,5,1.8,completed,2025-12-10T21:28:55.348242,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,5,1.8,completed,2025-12-10T21:28:55.348242,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,6,3.2,completed,2025-12-10T21:29:01.838182,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,6,3.2,completed,2025-12-10T21:29:01.838182,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,7,2.7,completed,2025-12-10T21:29:07.807915,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 14,7,2.7,completed,2025-12-10T21:29:07.807915,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,1,3.2,completed,2025-12-10T21:29:15.679351,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,1,3.2,completed,2025-12-10T21:29:15.679351,B,3.2,B,0.0,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,2,2.7,completed,2025-12-10T21:29:22.280509,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,2,2.7,completed,2025-12-10T21:29:22.280509,C,2.0,C,0.7000000000000002,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,3,2.0,completed,2025-12-10T21:29:29.780385,C,1.2,D,0.8,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,3,2.0,completed,2025-12-10T21:29:29.780385,C,1.2,D,0.8,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,4,2.0,completed,2025-12-10T21:29:36.725233,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,4,2.0,completed,2025-12-10T21:29:36.725233,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,5,1.8,completed,2025-12-10T21:29:44.494854,D,1.1,D,0.7,True
exp_chatgpt_lenient_05,chatgpt,lenient,Mahasiswa 15,5,1.8,completed,2025-12-10T21:29:44.494854,D,1.1,D,0.7,True
